time_s,ax,ay,az,gx,gy,gz,activity,split,recording_id
2.0,-1.9829569466544432,-1.9696710701614422,-4.597575755123335,4.861114579175927,-2.510109934901313,-1.4896723565436485,jumping,train,28136306
2.0100000000000002,-3.498170416530889,-2.867763142695929,-4.580451248555031,4.204354535816769,-2.5176085074954786,-1.4308714533597464,jumping,train,28136306
2.02,-4.844411495196292,-3.6869076755111054,-4.3033008913377415,3.3748626672645896,-2.3389336921004475,-1.3095120653993293,jumping,train,28136306
2.0300000000000002,-5.799936371833071,-4.323501185300858,-3.424890694765981,2.629266097413414,-2.108019624105215,-1.1947828952719075,jumping,train,28136306
2.04,-6.615942477951275,-4.895941763335671,-2.4701033170778977,2.0323687486117614,-1.784514716216365,-1.091805375623368,jumping,train,28136306
2.05,-7.23678572410844,-5.378643379439831,-1.4084773466539942,1.6130525321692866,-1.4995646883574347,-1.0242264341958196,jumping,train,28136306
2.06,-8.172669377329926,-5.576600052760387,-0.39058097344232157,1.3905104680527676,-1.2573365630741125,-0.9958719595257588,jumping,train,28136306
2.07,-9.384411747644679,-5.525225615360694,0.5890244684618045,1.45343825662049,-1.0545676668790969,-1.0324821741527144,jumping,train,28136306
2.08,-10.938461572097435,-5.451659388818293,1.6932512658992536,1.715292611823196,-0.8792955059462731,-1.1143623269985359,jumping,train,28136306
2.09,-12.679414832481255,-5.36597621422206,2.8655226216949363,2.1574572508600136,-0.7454396573970997,-0.9347628292401556,jumping,train,28136306
2.1,-14.12373479533665,-6.453074932932695,3.6232846840307005,2.6748478743433335,-0.628862817038428,-0.646073246816831,jumping,train,28136306
2.11,-15.475299219173747,-7.906895855694061,4.251432056231207,2.8718330374006107,-0.6265761827452935,-0.0293395317267916,jumping,train,28136306
2.12,-16.38217758813631,-8.830975742632628,4.139780418243188,2.9981336451182035,-0.6495030775370958,0.6597639039620191,jumping,train,28136306
2.13,-17.227309803563724,-9.681499306018367,3.9254052008501277,2.609033066431318,-0.6811547405485804,1.423761384439274,jumping,train,28136306
2.14,-16.531853490445748,-9.48523085558691,4.306328419046559,2.179420406622604,-0.7036358469714251,2.1794902241084175,jumping,train,28136306
2.15,-15.679967339849695,-9.178263092772765,4.7612302322441336,1.67012527329494,-0.5422902546916112,2.6808515849687615,jumping,train,28136306
2.16,-13.625945183726397,-8.017556220340543,5.793957384754633,1.2006349046146514,-0.3706976341982993,3.1202876514142295,jumping,train,28136306
